Fecha,Temp_Max_Real,Humidity_Real,Wind_Speed_Real,Pressure_Real
2024-08-26,24.0,65.80833333333334,24.076,1018.8800912500001
2024-08-27,25.0,65.33583333333333,20.372,1017.7371846249999
2024-08-28,28.0,61.17791666666667,20.372,1012.911578875
2024-08-29,23.0,58.04229166666667,22.224,1017.7583495625
2024-08-30,22.0,62.387708333333336,24.076,1022.8379345625
2024-08-31,20.0,73.06333333333333,35.188,1022.1183266875
2024-09-01,26.0,79.10000000000001,24.076,1013.3772075
2024-09-02,21.0,85.55333333333334,18.52,1010.3647313958332
2024-09-03,24.0,78.84875,24.076,1012.2766307500001
2024-09-04,19.0,68.20208333333333,14.816,1016.382628625
2024-09-05,20.0,88.71770833333333,29.632,1012.2131359374999
2024-09-06,20.0,92.02604166666667,18.52,1010.0260923958334
2024-09-07,20.0,82.19125,11.112,1009.5392988333333
2024-09-08,21.0,82.99625,20.372,1004.022305125
2024-09-09,17.0,76.92020833333333,24.076,1009.5886836875001
2024-09-10,19.0,76.434375,31.484,1008.3328973958334
2024-09-11,15.0,69.58541666666666,29.632,1009.22887975
2024-09-12,14.0,68.9825,22.224,1016.0651545625001
2024-09-13,17.0,61.864583333333336,12.964,1028.02334425
2024-09-14,20.0,61.40729166666667,16.668,1030.3303224375002
2024-09-15,20.0,71.44020833333333,18.52,1027.049757125
2024-09-16,20.0,71.265625,20.372,1028.6159625
2024-09-17,21.0,68.811875,25.928,1030.6901263749999
2024-09-18,23.0,72.56729166666666,27.78,1027.896354625
2024-09-19,25.0,73.05958333333334,33.336,1024.4464698125
2024-09-20,22.0,73.23812500000001,33.336,1020.7637706874999
2024-09-21,23.0,78.89874999999999,24.076,1017.1868962500001
2024-09-22,21.0,86.93083333333334,20.372,1011.4018133333334
2024-09-23,20.0,83.38625,24.076,1003.8318206875
2024-09-24,17.0,77.31375,22.224,1003.0275530624999
2024-09-25,17.0,79.65208333333334,20.372,998.3994867291667
2024-09-26,18.0,84.23770833333333,35.188,986.8857607291667
2024-09-27,14.0,76.01625,24.076,1000.6711900208334
2024-09-28,15.0,69.619375,18.52,1022.94375925
2024-09-29,15.0,72.54854166666667,29.632,1019.8113485
2024-09-30,17.0,86.01104166666666,35.188,1002.1386256874999
2024-10-01,14.0,85.74624999999999,29.632,1006.6255924375
2024-10-02,16.0,83.30645833333334,25.928,1013.1585031458334
2024-10-03,15.0,76.3704347826087,18.52,1020.996585
2024-10-04,17.0,75.37854166666666,12.964,1021.1024096875
2024-10-05,17.0,72.47229166666666,20.372,1014.81642325
2024-10-06,16.0,82.89541666666666,22.224,1000.4454306875
2024-10-07,19.0,82.90063829787233,20.372,997.3639058510638
2024-10-08,19.0,82.54936170212767,24.076,992.305936106383
2024-10-09,16.0,82.2675,16.668,987.0621352083334
2024-10-10,13.0,76.35645833333334,16.668,1004.8618476458333
2024-10-11,13.0,71.14166666666667,14.816,1016.0228246875
2024-10-12,16.0,76.57833333333333,25.928,1008.4316671041666
2024-10-13,11.0,68.06875000000001,25.928,1017.5043703125001
2024-10-14,12.0,87.91895833333332,29.632,1015.282051875
2024-10-15,17.0,91.32479166666667,29.632,1013.5818018958333
2024-10-16,22.0,85.29770833333333,20.372,1002.7312439375
2024-10-17,19.0,79.42812500000001,22.224,1009.1936048541667
2024-10-18,17.0,85.87875000000001,12.964,1013.842836125
2024-10-19,17.0,82.339375,20.372,1011.2324938333333
2024-10-20,18.0,81.943125,29.632,1010.7809751666667
2024-10-21,15.0,79.76,20.372,1020.276977125
2024-10-22,17.0,83.81479166666666,22.224,1027.8610797291667
2024-10-23,17.0,85.14479166666666,14.816,1030.9370506458333
2024-10-24,18.0,84.89083333333333,18.52,1019.5785341874999
2024-10-25,17.0,92.3675,20.372,1013.7793413125
2024-10-26,15.0,90.99979166666667,11.112,1015.8958350624999
2024-10-27,16.0,81.95100000000001,18.52,1021.3216784400001
2024-10-28,16.0,87.13604166666666,22.224,1021.335224
2024-10-29,16.0,86.96958333333333,14.816,1024.2348204375
2024-10-30,15.0,82.33,7.408,1028.785282
2024-10-31,15.0,80.04208333333334,7.408,1026.8592726875002
2024-11-01,13.0,78.16625,16.668,1025.31423225
2024-11-02,14.0,85.52958333333333,20.372,1030.1186730625002
2024-11-03,13.0,80.255,20.372,1028.4678079375
2024-11-04,13.0,81.00666666666667,20.372,1025.2930673125
2024-11-05,12.0,82.65291666666667,12.964,1023.3882229375
2024-11-06,10.0,95.53125,12.964,1030.6477965
2024-11-07,12.0,90.05854166666667,22.224,1030.4925869583333
2024-11-08,10.0,81.68979166666666,16.668,1025.525881625
2024-11-09,9.0,74.73125,11.112,1024.2559853750001
2024-11-10,12.0,83.09583333333333,11.112,1028.1714988125
2024-11-11,13.0,77.24458333333334,14.816,1034.5915298541665
2024-11-12,13.0,81.19166666666668,27.78,1035.3040827500001
2024-11-13,11.0,83.84770833333333,12.964,1034.499815125
2024-11-14,12.0,79.35479166666667,16.668,1031.4873390208334
2024-11-15,10.0,75.00020833333333,14.816,1027.1979116875
2024-11-16,11.0,84.31458333333333,18.52,1018.4356275625
2024-11-17,11.0,77.58354166666668,24.076,1014.096815375
2024-11-18,10.0,88.48520833333333,16.668,1008.9537355625001
2024-11-19,12.0,89.59604166666666,27.78,998.3712668125
2024-11-20,6.0,74.95979166666667,27.78,1009.0313403333333
2024-11-21,4.0,75.865,18.52,1001.4190178125
2024-11-22,8.0,70.72833333333334,33.336,1007.8602137916668
2024-11-23,15.0,83.22375,37.04,1003.0839928958334
2024-11-24,18.0,72.29208333333334,40.744,994.8578871875001
2024-11-25,12.0,74.29145833333332,29.632,1001.8423165625
2024-11-26,11.0,73.83395833333334,16.668,1014.9222479375
2024-11-27,11.0,87.61916666666667,31.484,1013.0244585416667
2024-11-28,7.0,87.55104166666666,16.668,1028.1503338750001
2024-11-29,10.0,82.545,18.52,1026.2031596250001
